S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
687,RJ-800623-002,"24.5755,73.7339",Rajasthan,10,10,3,2,4,10,10,13,0.05,0.1,0.15,0.1,0.1,1,5,2,19,5400,39,7,10,10,10,10,10,10,60,24.5755,73.7339
688,RJ-800623-001,"24.5622665, 73.755692",Rajasthan,25,25,3,3,8,14,20,5,0.05,0.65,0.12,0.1,0.1,1,5,2,15,1.8,32,5,10,10,10,10,10,10,60,24.5622665,73.755692
689,RJ-800623-004,"24.5622665, 73.755692",Rajasthan,20,20,13,2,11,78,10,7,0.05,0.1,0.25,0.1,0.1,1,5,2,19,110,12,8,10,10,10,10,10,10,60,24.5622665,73.755692
690,RJ-800555-001,"24.9020149, 72.8478084",Rajasthan,5,5,15.51,2.8,2,61.25,37,8.5,2.09,0.42,0.05,29.82,1.5,1,10.17,4.5,8,394.98,78,5,10,10,10,10,10,10,60,24.9020149,72.8478084
691,RJ-800559-001,"26.2326647, 73.9162053",Rajasthan,2,2,19.12,2.8,28,64.3,32,90,4.7,0.37,0.8,59.2,1.2,5.2,7.05,4.2,22,186,30,25,0,0,10,10,10,10,40,26.2326647,73.9162053
692,RJ-800628-001,"24.0285862, 74.7674206",Rajasthan,7,5,18.73,3,6.12,56.57,48,12.1,10.24,0.45,0.05,60.89,1.2,0.74,5.32,4.5,5,235,62,12,10,10,10,10,10,10,60,24.0285862,74.7674206
693,RJ-800605-006,"24.8903434, 74.6308668",Rajasthan,3,1.5,19.75,2,6.8,53.37,40,20.1,3.11,0.68,0.02,28.67,1.9,0.72,6.63,3,5,304.23,92,12,10,10,10,10,10,10,60,24.8903434,74.6308668
694,RJ-800561-006,"25.7721641, 73.2957583",Rajasthan,7.5,7.5,13.8,2,9,64.3,48,38,3.7,0.28,0.05,55.7,1,1,8.67,3.5,12,213,28,10,10,10,10,10,10,10,60,25.7721641,73.2957583
695,RJ-800561-005,"25.7719126, 73.2957466",Rajasthan,15,15,16.2,2.8,6.5,68.4,37,28,3.55,0.35,0.05,51.3,1.8,1,8.31,4,8,142,55,8,10,10,10,10,10,10,60,25.7719126,73.2957466
696,DL-900118-012,"28.603027, 77.326686",Delhi,204.3,204.3,5,3.6,24,20,22,78,0,0.05,1.9,0,1.2,19.6,0,5,30.6,2800,5400,112,0,0,0,0,0,10,10,28.603027,77.326686
697,RJ-800602-001,"23.1899, 74.4488",Rajasthan,1,1,16.12,4,2,61.3,35,4.03,4.22,0.85,0.08,59.2,1.9,0.82,6.35,3.5,5,148,28,12,10,10,10,10,10,10,60,23.1899,74.4488
698,RJ-800608-001,"24.4225907, 74.4777519",Rajasthan,1.5,1.2,5,3,6.94,30,45,16.1,0.05,0.65,0.02,1,1.9,0.72,5,4,5,240,42,11,10,10,10,10,10,10,60,24.4225907,74.4777519
699,RJ-800617-001,"24.6178489, 76.174286",Rajasthan,6,6,17,10,13.4,96.5,45,32.2,5.9,2.1,0.09,11.35,17.6,0.96,7.8,9,5,260,342,11,0,10,10,10,10,10,50,24.6178489,76.174286
700,KA-803162-022,"13.0944289, 77.6057094",KARNATAKA,15,15,2.6,4.2,3,12,24,16.02,0.2,0.22,0.62,21.4,29.6,1,2,4,5,2,2,2,10,10,10,10,10,10,60,13.0944289,77.6057094
701,KA-803162-016,"13.0440147, 77.6630838",KARNATAKA,20,,2.6,8.2,6.2,18,36,24.02,0.12,1,0.95,6.6,14.4,2.3,7,7,5,2,26,2.5,10,10,10,10,10,10,60,13.0440147,77.6630838
702,KA-803162-018,"13.093612, 77.5901127",KARNATAKA,10,,13.2,4.2,3.3,67,20,16.02,3.1,2.7,0.77,32,5.7,2.3,2.5,3,5,110,2,2.3,10,10,10,10,10,10,60,13.093612,77.5901127
703,KA-803162-017,"13.0827252, 77.5135503",KARNATAKA,5,,5.6,3.2,2,16.7,14,8.03,0.65,0.87,0.56,41,6.8,2.5,5.3,3,12,170,2,2,10,10,10,10,10,10,60,13.0827252,77.5135503
704,KA-803162-002,"13.034615, 77.6254733",KARNATAKA,1,,15,16,8,46,62,5,0.97,1.6,0.5,57,46.8,2.4,6.8,23,12,280,80,2,10,10,10,10,10,10,60,13.034615,77.6254733
705,KA-803162-024,"13.10962, 77.57581",KARNATAKA,7,,5.6,16,8.6,29.2,78,44.04,0.61,1.3,0.5,43,26.8,2.3,5.6,25,14,70,2,2,10,10,10,10,10,10,60,13.10962,77.57581
706,RJ-800622-001,"24.8007317, 74.092725",Rajasthan,1,1,15.27,2,1,62.58,20,8,5.1,0.1,0.12,57.2,0.1,1,7.28,2,9,148,47,2,10,10,10,10,10,10,60,24.8007317,74.092725
707,RJ-800598-001,"24.9393512, 73.8077624",Rajasthan,11.25,4.5,15.18,4,23.8,62.25,4,56,4.15,0.82,0.04,58.28,0.1,2.72,6.9,9,6.3,167,110,7,0,0,10,10,10,10,40,24.9393512,73.8077624
708,KA-803108-001,"15.037853, 75.912587",Karnataka,4.27,4,26,11.5,4.34,72,48,15.8,2,2.2,1.81,20,63,12.2,42,4.8,10,220,170,79,10,10,0,0,10,10,40,15.037853,75.912587
709,KA-803162-015,"12.9181926, 77.4942979",KARNATAKA,75,,8.2,66,3.7,36,321,16.75,1.5,1.5,0.5,7.9,27.8,1.42,16,72,5,17,2,2,10,10,10,10,10,10,60,12.9181926,77.4942979
710,KA-803162-021,"13.0434995, 77.6456191",KARNATAKA,40,,18,14,2,73,66,12.01,0.4,0.96,2.12,48.2,52.8,6.9,18,28,5,2,2,2,10,10,0,10,10,10,50,13.0434995,77.6456191
711,KA-803162-019,"13.045557, 77.6462396",KARNATAKA,40,,8.2,4.6,2,34,24,8.01,0.1,0.29,2.16,23.4,25.4,8.4,6,5,5,2,2,2,10,10,0,10,10,10,50,13.045557,77.6462396
