S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
421,KA-803137-002,"13.9360617, 75.6046617",Karnataka,5.13,0,14,6.2,3.6,54,20.7,16.75,1.1,1,1.78,12.6,67,8.2,7,3.2,8,2,120,5,10,10,0,10,10,10,50,13.9360617,75.6046617
422,JK-800013-022,"34.0847374, 74.8147757",Jammu And Kashmir,16.1,13.1,3,3.2,6.9,17,18,20,0.05,0.05,1.2,1,1.16,7.3,5,5,16,22000,140,30,10,10,0,10,10,10,50,34.0847374,74.8147757
423,MP-802312-001,"23.2825681, 77.4585446",Madhya Pradesh,35,28,6,2.8,10.8,30,16,90,0.05,0.05,1.498,1,1.02,5.6,5,5,4,280,350,210,10,0,0,10,10,10,40,23.2825681,77.4585446
424,UP-800951-007,"26.8346005, 81.0372605",Uttar Pradesh,345,345,6,2.6,17.2,32,17,50,0.05,0.05,0.22,1,1.4,19.4,5,6.4,42,2200,240,90,0,10,10,0,0,10,30,26.8346005,81.0372605
425,TN-803339-006,"13.1437023, 80.2601411",Tamil Nadu,120,110,46,42,5.4,120,112,32,0.4,0.2,0.34,19,46,38,13,26,1.8,350,130,220,10,10,10,0,10,10,50,13.1437023,80.2601411
426,KL-803299-003,"9.4924077, 76.3408688",Kerala,0.24,0.24,60,24,5.1,132,84,28.06,2.6,0.4,0.5,45,38,2,45,32,7,220,79,2,10,10,10,10,10,10,60,9.4924077,76.3408688
427,TS-802918-025,"17.4052558, 78.328111",Telangana,15,10,58,24,6,132,96,20,1.3,0.2,0.6,38,38,24,20,45,6,170,84,152,10,10,10,0,10,10,50,17.4052558,78.328111
428,TS-802918-021,"17.4170457, 78.4638094",Telangana,20,20,28,18,13,64,64,44,1.33,0.6,0.8,48,32,18,15,15,9,140,110,110,0,10,10,0,10,10,40,17.4170457,78.4638094
429,UP-800734-001,"28.6544165, 77.3770318",Uttar Pradesh,74,74,3,2.8,14,15,17,40,0.05,0.05,0.4,1,0.5,2.6,5,5,6,1.8,13,25,0,10,10,10,10,10,50,28.6544165,77.3770318
430,UP-800951-006,"26.8835176, 80.9015979",Uttar Pradesh,56,56,10,3.2,29,46,19,90,0.05,0.05,0.42,1,1.5,5.6,5,5,72,1.8,13,60,0,0,10,10,0,10,30,26.8835176,80.9015979
431,UP-801030-002,"25.464259, 78.593702",Uttar Pradesh,26,26,3,2.6,2,14,16,10,0.05,0.05,0.75,0.1,0.6,1,5,5,5,350,130,7,10,10,10,10,10,10,60,25.464259,78.593702
432,UP-800734-002,"28.6296178, 77.4309564",Uttar Pradesh,70,70,9,14,14,48,90,40,0.05,0.05,1.9,0.1,3.8,10.4,5,5,12,22000,940,50,0,10,0,10,10,10,40,28.6296178,77.4309564
433,UP-800866-002,"28.3562896, 79.3919719",Uttar Pradesh,35,23,8,5.2,6.5,45,32,30,0.05,0.05,1.35,0.1,1.7,1.2,5,5,5,3500,1.8,15,10,10,0,10,10,10,50,28.3562896,79.3919719
434,KA-803083-003,"15.5034328, 74.9743936",Karnataka,10,0,52,26,32.1,112,116,96.8,4.7,0.3,0.14,55,36,2.2,38,22,10,220,120,49,0,0,10,10,10,10,40,15.5034328,74.9743936
435,TS-802918-005,"17.3743664, 78.4315684",Telangana,23,23,51,18,23,104,60,72,2.7,0.7,0.9,30,28,24,21,81,11,240,79,108,0,0,10,0,10,10,30,17.3743664,78.4315684
436,TN-803339-022,"13.0243297, 80.2295",Tamil Nadu,4,4,46,24,10,112,80,44,2.26,0.6,0.36,36,36,38,32,32,1,210,84,210,10,10,10,0,10,10,50,13.0243297,80.2295
437,KL-900211-004,"11.6589181, 76.2630861",Kerala,0.14,0.14,26,18,4.4,60,74,20.04,3.6,0.4,2.84,40,44,3.73,17,21,7,350,79,2,10,10,0,10,10,10,50,11.6589181,76.2630861
438,KL-803271-001,"10.9180913, 75.9248107",Kerala,0.05,0,50,18,2.3,112,68,12.02,1.5,0.8,2.84,41,36,4.5,38,35,5,220,110,4,10,10,0,10,10,10,50,10.9180913,75.9248107
439,KA-803083-004,"15.4596751, 74.9809677",Karnataka,3,0,82,36,14.4,176,100,40.3,3.1,0.2,1.4,36,42,0.5,69,49,16,130,130,70,0,10,0,10,10,10,40,15.4596751,74.9809677
440,UP-800734-006,"28.6468747, 77.4036631",Uttar Pradesh,21.5,5,5,2.4,11,22,15,30,0.05,0.05,0.2,1,1.4,1.9,5,5,7,13,5400,25,10,10,10,10,10,10,60,28.6468747,77.4036631
441,MP-802248-003,"22.9370191, 76.0017302",Madhya Pradesh,22,4.9,4,4.4,12,16,25,100,0.05,0.05,0.1706,1,1.22,9.52,5,5,6,13,16000,248,0,0,10,10,10,10,40,22.9370191,76.0017302
442,UP-801244-002,"25.161313, 82.5105258",Uttar Pradesh,7,4,3,3.8,7.2,17,22,20,0.05,0.05,0.3,1,1.14,5.6,5,5,1,140,2200,35,10,10,10,10,10,10,60,25.161313,82.5105258
443,MH-802776-011,"19.932906, 73.7913587",Maharashtra,32,19.39,8,16,5,23.7,48,9.8,1.1,1.2,0.5,3.6,3.8,1.15,3,4,70,2400,1.8,2,10,10,10,10,0,10,50,19.932906,73.7913587
444,BR-801357-001,"25.38738739, 86.49720585",Bihar,30,30,35,36,10.6,78,81,35.2,0.71,3.8,1.16,15,27,14.6,20,16,5.8,70,11,8,10,10,0,0,10,10,40,25.38738739,86.49720585
